ID клиента;Возраст;Пол;Срок сотрудничества;Кредитный рейтинг;Сумма на банковском счете;Количество банковских продуктов;Кредитная карта;Статус сотрудничества
15678910;30.0;Женский;8;680;141441.75;1;Есть;Остается клиентом
15732293;31.0;Мужской;8;759;0.0;2;Есть;Остается клиентом
15813067;45.0;Женский;3;432;110219.14;1;Есть;Покинул банк
15790810;41.0;Женский;10;844;76319.64;1;Есть;Покинул банк
15724620;37.0;Мужской;1;538;134752.08;1;Есть;Остается клиентом
15664681;35.0;Женский;2;584;114321.28;2;Нет;Остается клиентом
15690182;37.0;Мужской;5;635;113488.68;1;Есть;Покинул банк
15781619;38.0;Женский;1;785;0.0;1;Есть;Покинул банк
15650424;48.0;Женский;3;641;147341.43;1;Есть;Покинул банк
15803842;45.0;Женский;3;752;105426.5;2;Нет;Остается клиентом
15726791;45.0;Женский;2;637;157929.45;1;Есть;Покинул банк
15812210;32.0;Женский;8;497;111537.23;4;Есть;Покинул банк
15637690;34.0;Женский;7;622;98675.74;1;Есть;Покинул банк
15623989;54.0;Мужской;3;435;0.0;1;Есть;Покинул банк
15642394;35.0;Мужской;5;529;0.0;2;Есть;Остается клиентом
15769005;49.0;Мужской;4;709;154344.49;2;Есть;Остается клиентом
15792646;64.0;Женский;1;647;91216.0;1;Есть;Остается клиентом
15772423;54.0;Мужской;8;739;126418.14;1;Есть;Покинул банк
15734892;37.0;Мужской;4;579;0.0;2;Есть;Остается клиентом
15710164;73.0;Женский;7;523;0.0;2;Нет;Покинул банк
15653753;43.0;Мужской;6;542;113567.94;1;Есть;Остается клиентом
15692106;25.0;Женский;3;606;147386.72;3;Есть;Покинул банк
15778947;36.0;Мужской;3;628;0.0;2;Есть;Остается клиентом
15642063;40.0;Мужской;6;692;163505.16;1;Нет;Остается клиентом
15749807;31.0;Женский;3;516;0.0;2;Есть;Остается клиентом
15801904;28.0;Мужской;0;677;143988.0;2;Есть;Покинул банк
15580629;31.0;Мужской;6;604;134837.58;1;Есть;Остается клиентом
15766166;43.0;Мужской;2;604;145081.72;1;Есть;Остается клиентом
15722479;37.0;Мужской;1;707;0.0;2;Нет;Остается клиентом
15768137;23.0;Женский;6;667;136100.69;2;Нет;Покинул банк
15664339;48.0;Мужской;4;775;178144.91;2;Нет;Покинул банк
15603764;49.0;Мужской;4;560;0.0;1;Есть;Покинул банк
15581736;47.0;Мужской;1;673;183579.54;2;Нет;Остается клиентом
15675794;47.0;Мужской;9;645;152076.93;1;Есть;Покинул банк
15679148;44.0;Мужской;3;508;115451.05;2;Нет;Остается клиентом
15649450;24.0;Мужской;6;805;143221.35;2;Есть;Остается клиентом
15807923;39.0;Женский;10;716;115301.31;1;Есть;Покинул банк
15750335;43.0;Мужской;0;850;108508.82;3;Есть;Покинул банк
15672912;39.0;Женский;7;737;130051.66;2;Нет;Покинул банк
15715638;77.0;Мужской;3;824;27517.15;2;Нет;Остается клиентом
15721007;33.0;Мужской;8;776;115130.34;1;Нет;Покинул банк
15623219;33.0;Мужской;8;596;0.0;1;Есть;Покинул банк
15711378;38.0;Мужской;4;677;0.0;2;Есть;Остается клиентом
15729110;42.0;Женский;7;729;0.0;2;Есть;Покинул банк
15637178;45.0;Женский;7;803;0.0;2;Есть;Остается клиентом
15650266;39.0;Мужской;2;679;146186.28;2;Есть;Остается клиентом
15786463;59.0;Женский;8;645;121669.93;2;Нет;Покинул банк
15615245;19.0;Мужской;5;660;127649.64;1;Есть;Остается клиентом
15814237;30.0;Мужской;3;627;128770.88;2;Есть;Остается клиентом
15738835;38.0;Мужской;7;850;101985.81;2;Нет;Остается клиентом
15575694;45.0;Женский;7;729;91091.06;2;Есть;Остается клиентом
15768387;41.0;Мужской;8;581;0.0;2;Нет;Остается клиентом
15696120;30.0;Женский;2;701;0.0;2;Есть;Остается клиентом
15677123;37.0;Мужской;7;767;0.0;2;Есть;Остается клиентом
15597602;57.0;Мужской;3;619;137946.39;1;Есть;Покинул банк
15768295;34.0;Женский;7;778;109564.1;1;Нет;Остается клиентом
15799186;38.0;Мужской;4;632;0.0;2;Нет;Остается клиентом
15683027;29.0;Мужской;4;570;122028.65;2;Есть;Остается клиентом
15684861;32.0;Женский;8;726;0.0;2;Нет;Остается клиентом
15716186;38.0;Женский;2;586;0.0;2;Есть;Остается клиентом
15686137;32.0;Мужской;9;456;147506.25;1;Есть;Остается клиентом
15768566;34.0;Мужской;8;706;0.0;2;Есть;Остается клиентом
15781504;20.0;Мужской;4;685;104719.94;2;Есть;Остается клиентом
15720134;30.0;Мужской;9;709;115479.48;2;Есть;Остается клиентом
15787699;34.0;Мужской;4;650;142393.11;1;Есть;Остается клиентом
15718406;41.0;Мужской;3;540;0.0;2;Есть;Остается клиентом
15770719;39.0;Женский;6;697;151553.19;1;Есть;Остается клиентом
15691817;44.0;Женский;5;547;0.0;3;Нет;Покинул банк
15678034;46.0;Мужской;9;811;180226.24;1;Есть;Покинул банк
15787255;55.0;Женский;2;650;140891.46;3;Есть;Покинул банк
15584452;41.0;Мужской;6;667;0.0;2;Нет;Остается клиентом
15804919;65.0;Женский;1;670;0.0;1;Есть;Покинул банк
15690134;42.0;Женский;3;464;85679.25;1;Есть;Остается клиентом
15585198;41.0;Мужской;4;715;94267.9;1;Нет;Покинул банк
15715951;42.0;Мужской;2;562;100238.35;1;Нет;Остается клиентом
15801218;49.0;Мужской;8;675;135133.39;1;Нет;Покинул банк
15601274;40.0;Женский;1;667;146502.07;1;Есть;Остается клиентом
15657829;30.0;Мужской;8;806;168078.83;1;Есть;Покинул банк
15654760;40.0;Мужской;1;811;101514.89;1;Есть;Остается клиентом
15756026;46.0;Женский;9;790;0.0;1;Нет;Покинул банк
15587647;66.0;Женский;0;850;127120.62;1;Нет;Покинул банк
15723006;38.0;Мужской;8;489;0.0;2;Нет;Остается клиентом
15657284;47.0;Мужской;6;674;106901.94;1;Есть;Покинул банк
15612627;29.0;Мужской;5;627;139541.58;2;Есть;Остается клиентом
15757535;44.0;Женский;5;647;0.0;3;Есть;Покинул банк
15572038;35.0;Мужской;9;660;113948.58;1;Есть;Покинул банк
15613140;34.0;Мужской;6;565;0.0;1;Есть;Остается клиентом
15672437;72.0;Мужской;1;642;160541.0;2;Есть;Остается клиентом
15702298;41.0;Мужской;8;655;125561.97;1;Нет;Покинул банк
15752294;38.0;Женский;9;582;135979.01;4;Есть;Покинул банк
15738605;46.0;Женский;5;634;123642.36;1;Есть;Покинул банк
15772243;33.0;Женский;9;612;0.0;1;Нет;Покинул банк
15624188;33.0;Женский;6;712;0.0;2;Есть;Остается клиентом
15633274;34.0;Мужской;7;679;160515.37;1;Есть;Остается клиентом
15585599;34.0;Женский;8;530;0.0;2;Нет;Остается клиентом
15687001;54.0;Мужской;1;596;123544.0;1;Есть;Покинул банк
15792668;37.0;Мужской;7;661;109908.06;2;Есть;Покинул банк
15631359;38.0;Женский;5;489;117289.92;1;Нет;Остается клиентом
15793346;72.0;Женский;3;602;0.0;2;Есть;Остается клиентом
15605425;44.0;Женский;2;545;127536.44;1;Есть;Остается клиентом
15706537;59.0;Женский;7;577;111396.97;1;Нет;Остается клиентом
15673790;45.0;Мужской;7;498;109200.74;2;Нет;Остается клиентом
15648362;45.0;Мужской;3;728;108924.33;2;Есть;Покинул банк
15611580;33.0;Мужской;4;751;79281.61;1;Есть;Остается клиентом
15747649;36.0;Женский;0;558;126606.63;2;Есть;Остается клиентом
15700212;46.0;Женский;10;475;0.0;2;Нет;Покинул банк
15691624;33.0;Мужской;2;820;132150.26;2;Есть;Остается клиентом
15755242;46.0;Женский;2;682;0.0;1;Есть;Остается клиентом
15640905;35.0;Женский;1;579;129490.36;2;Нет;Покинул банк
15766776;41.0;Мужской;1;576;0.0;1;Есть;Остается клиентом
15690169;31.0;Мужской;7;645;161171.7;2;Есть;Покинул банк
15669301;29.0;Женский;6;778;150358.97;1;Есть;Покинул банк
15585256;26.0;Мужской;2;805;0.0;2;Есть;Остается клиентом
15656597;38.0;Мужской;2;432;135559.8;2;Есть;Остается клиентом
15761453;42.0;Мужской;6;667;0.0;1;Есть;Остается клиентом
15663987;30.0;Мужской;1;723;0.0;3;Есть;Покинул банк
15607537;46.0;Мужской;9;587;107850.82;1;Есть;Покинул банк
15610900;70.0;Женский;9;770;110738.89;1;Есть;Покинул банк
15679770;61.0;Женский;3;611;131583.59;4;Нет;Покинул банк
15624519;49.0;Женский;9;656;97092.87;1;Есть;Покинул банк
15607526;50.0;Мужской;1;638;102645.48;1;Есть;Покинул банк
15663808;59.0;Женский;8;666;152614.51;2;Есть;Остается клиентом
15713374;67.0;Мужской;9;689;157094.78;1;Есть;Остается клиентом
15777907;33.0;Женский;3;791;0.0;1;Есть;Покинул банк
15577313;44.0;Мужской;3;619;116967.68;1;Есть;Покинул банк
15681206;49.0;Женский;3;722;168197.66;1;Есть;Покинул банк
15744691;29.0;Женский;3;755;0.0;3;Есть;Остается клиентом
15684548;38.0;Мужской;8;556;0.0;2;Нет;Покинул банк
15656710;40.0;Мужской;4;613;0.0;1;Нет;Остается клиентом
15718289;46.0;Мужской;3;553;82291.1;1;Есть;Покинул банк
15600739;35.0;Женский;0;562;0.0;2;Есть;Остается клиентом
15778395;34.0;Мужской;4;762;88815.56;2;Есть;Покинул банк
15626795;40.0;Женский;3;672;0.0;1;Есть;Покинул банк
15679550;32.0;Мужской;9;743;0.0;2;Есть;Остается клиентом
15614168;50.0;Женский;4;792;146710.76;1;Есть;Покинул банк
15702601;30.0;Мужской;4;680;108300.27;2;Нет;Покинул банк
15577078;38.0;Мужской;6;539;0.0;1;Есть;Покинул банк
15568449;38.0;Мужской;7;661;143006.7;1;Есть;Остается клиентом
15779581;43.0;Женский;3;734;55853.33;2;Нет;Покинул банк
15759133;18.0;Мужской;6;616;0.0;2;Есть;Остается клиентом
15750156;59.0;Мужской;2;662;104568.41;1;Есть;Покинул банк
15642824;56.0;Женский;8;826;174506.1;2;Нет;Покинул банк
15676895;39.0;Женский;6;547;74596.15;3;Есть;Покинул банк
15570769;69.0;Мужской;9;494;93320.8;1;Есть;Остается клиентом
15649354;35.0;Мужской;4;754;0.0;2;Есть;Остается клиентом
15578006;85.0;Женский;10;787;0.0;2;Есть;Остается клиентом
15624755;40.0;Женский;3;707;109628.44;1;Есть;Остается клиентом
15814275;33.0;Мужской;6;685;174912.72;1;Есть;Остается клиентом
15719991;52.0;Женский;1;727;154733.97;1;Есть;Покинул банк
15789548;37.0;Женский;7;592;0.0;2;Есть;Остается клиентом
15680683;29.0;Мужской;5;640;197200.04;2;Есть;Остается клиентом
15719017;34.0;Женский;8;672;0.0;2;Есть;Остается клиентом
15637131;38.0;Мужской;9;829;0.0;2;Есть;Остается клиентом
15612187;32.0;Мужской;8;547;155726.85;1;Есть;Остается клиентом
15793247;34.0;Мужской;5;498;0.0;2;Есть;Остается клиентом
15802585;41.0;Женский;8;634;68213.99;1;Есть;Остается клиентом
15792649;31.0;Женский;9;547;0.0;2;Нет;Остается клиентом
15795954;35.0;Мужской;2;746;172274.01;1;Есть;Остается клиентом
15720511;41.0;Мужской;3;547;151191.31;1;Есть;Покинул банк
15575147;22.0;Мужской;9;699;99339.0;1;Есть;Покинул банк
15598840;33.0;Мужской;1;680;123082.08;1;Есть;Остается клиентом
15806284;31.0;Мужской;1;739;0.0;2;Есть;Остается клиентом
15707567;50.0;Мужской;6;732;145338.76;1;Нет;Покинул банк
15743411;61.0;Мужской;1;609;0.0;1;Есть;Покинул банк
15574830;58.0;Мужской;2;633;128137.42;2;Есть;Покинул банк
15641822;19.0;Женский;1;648;0.0;2;Нет;Остается клиентом
15766288;36.0;Женский;5;586;103700.69;1;Есть;Покинул банк
15725737;46.0;Мужской;3;669;0.0;2;Нет;Остается клиентом
15579207;37.0;Мужской;3;545;91184.01;1;Есть;Остается клиентом
15680046;36.0;Мужской;8;711;0.0;2;Есть;Остается клиентом
15729689;35.0;Мужской;6;754;98585.94;2;Нет;Остается клиентом
15785488;39.0;Женский;9;701;0.0;2;Есть;Остается клиентом
15622631;44.0;Мужской;8;588;154409.74;1;Есть;Покинул банк
15804797;54.0;Женский;3;443;138547.97;1;Есть;Покинул банк
15627840;42.0;Женский;0;682;0.0;1;Нет;Покинул банк
15653275;54.0;Женский;1;785;0.0;2;Есть;Покинул банк
15647191;36.0;Мужской;4;677;0.0;2;Есть;Остается клиентом
15735221;42.0;Женский;10;697;0.0;2;Есть;Остается клиентом
15806389;55.0;Женский;1;549;137592.31;2;Нет;Покинул банк
15622833;29.0;Женский;10;835;130420.2;2;Нет;Остается клиентом
15634974;37.0;Женский;8;614;75150.34;4;Нет;Покинул банк
15813192;25.0;Мужской;6;494;0.0;2;Нет;Остается клиентом
15783349;39.0;Мужской;1;481;111233.09;1;Есть;Остается клиентом
15589924;40.0;Женский;1;577;0.0;2;Есть;Остается клиентом
15710012;44.0;Мужской;2;738;0.0;2;Есть;Покинул банк
15749851;26.0;Женский;4;702;135219.57;1;Нет;Остается клиентом
15629094;36.0;Женский;1;528;156948.41;1;Есть;Покинул банк
15701301;42.0;Женский;3;646;175159.9;2;Нет;Покинул банк
15694666;48.0;Мужской;8;707;88441.64;1;Есть;Покинул банк
15616280;46.0;Мужской;1;536;65733.41;1;Есть;Остается клиентом
15773338;58.0;Мужской;2;739;101579.28;1;Есть;Остается клиентом
15801699;43.0;Мужской;5;436;0.0;2;Есть;Остается клиентом
15571144;28.0;Мужской;10;655;0.0;2;Нет;Остается клиентом
15623202;39.0;Женский;10;704;102556.18;2;Есть;Покинул банк
15569571;46.0;Женский;6;584;87361.02;2;Есть;Покинул банк
15810457;33.0;Женский;9;728;150412.14;2;Есть;Остается клиентом
15702462;44.0;Женский;6;619;52831.13;1;Есть;Покинул банк
15603749;53.0;Женский;2;564;45472.28;1;Есть;Покинул банк
15801152;39.0;Женский;1;553;142876.98;2;Есть;Остается клиентом
15718281;67.0;Мужской;1;706;123276.69;2;Есть;Покинул банк
15581440;48.0;Женский;6;724;110463.25;2;Есть;Покинул банк
15641413;49.0;Женский;7;587;155393.98;2;Есть;Покинул банк
15642530;47.0;Женский;10;706;144090.42;1;Есть;Покинул банк
15601873;36.0;Женский;7;677;0.0;1;Есть;Остается клиентом
15717706;32.0;Женский;3;799;106045.92;2;Есть;Остается клиентом
15663650;52.0;Мужской;10;698;107304.39;3;Есть;Покинул банк
15762588;31.0;Мужской;5;644;0.0;2;Есть;Остается клиентом
15797081;49.0;Женский;9;611;115488.52;2;Есть;Покинул банк
15585580;52.0;Женский;9;796;167194.36;1;Есть;Покинул банк
15646372;66.0;Женский;1;616;135842.41;1;Есть;Покинул банк
15769216;43.0;Женский;2;601;0.0;1;Есть;Покинул банк
15635240;42.0;Мужской;1;553;0.0;2;Нет;Остается клиентом
15768600;50.0;Мужской;9;805;130023.38;1;Есть;Покинул банк
15704583;56.0;Мужской;2;651;0.0;1;Есть;Покинул банк
15783629;42.0;Женский;6;616;117899.95;2;Нет;Остается клиентом
15624388;50.0;Женский;5;649;155393.32;1;Есть;Покинул банк
15784320;44.0;Женский;3;632;133793.89;1;Есть;Покинул банк
15693764;52.0;Мужской;0;663;136298.65;1;Есть;Покинул банк
15658956;40.0;Мужской;6;505;47869.69;2;Есть;Остается клиентом
15701809;28.0;Женский;3;749;0.0;1;Есть;Остается клиентом
15733447;51.0;Женский;1;562;124662.54;1;Есть;Покинул банк
15610727;36.0;Мужской;7;605;128829.25;1;Есть;Остается клиентом
15654964;48.0;Мужской;7;608;75801.74;1;Есть;Остается клиентом
15702430;35.0;Женский;10;548;0.0;1;Есть;Остается клиентом
15637788;23.0;Мужской;3;743;110203.77;1;Есть;Остается клиентом
15674929;31.0;Женский;7;512;0.0;2;Нет;Остается клиентом
15692577;38.0;Женский;10;674;83727.68;1;Есть;Остается клиентом
15800515;35.0;Мужской;5;516;128653.59;1;Есть;Остается клиентом
15771154;73.0;Женский;8;683;137732.23;2;Есть;Остается клиентом
15808960;40.0;Мужской;5;620;108197.11;2;Есть;Остается клиентом
15604482;30.0;Мужской;2;850;141040.01;1;Есть;Остается клиентом
15655859;35.0;Мужской;5;848;120046.74;2;Есть;Остается клиентом
15642544;34.0;Мужской;5;723;0.0;2;Нет;Остается клиентом
15646726;43.0;Мужской;5;672;0.0;1;Нет;Остается клиентом
15810418;60.0;Женский;3;756;115924.89;1;Есть;Покинул банк
15782247;22.0;Мужской;4;540;0.0;3;Есть;Покинул банк
15669411;52.0;Женский;6;750;107467.56;1;Есть;Покинул банк
15757829;40.0;Женский;10;609;137389.77;2;Есть;Остается клиентом
15687658;52.0;Женский;7;716;65971.61;2;Есть;Покинул банк
15793671;34.0;Мужской;5;606;0.0;1;Есть;Остается клиентом
15697844;32.0;Женский;10;721;0.0;1;Есть;Покинул банк
15800746;45.0;Мужской;7;674;144889.18;1;Есть;Покинул банк
15575119;71.0;Мужской;3;779;0.0;2;Есть;Покинул банк
15773792;32.0;Женский;4;662;133950.37;1;Есть;Покинул банк
15669414;62.0;Мужской;9;486;118356.89;2;Есть;Покинул банк
15611430;54.0;Мужской;5;690;0.0;1;Есть;Покинул банк
15791925;29.0;Мужской;10;751;147737.63;1;Нет;Остается клиентом
15813504;25.0;Женский;1;543;146566.01;1;Нет;Остается клиентом
15596493;47.0;Женский;7;687;0.0;2;Есть;Остается клиентом
15775625;47.0;Мужской;6;596;0.0;1;Есть;Остается клиентом
15641136;32.0;Мужской;2;629;0.0;2;Нет;Остается клиентом
15679663;36.0;Женский;0;488;0.0;2;Есть;Остается клиентом
15681274;56.0;Женский;2;726;105473.74;1;Есть;Остается клиентом
15686885;44.0;Мужской;3;777;124655.59;2;Нет;Остается клиентом
15724321;47.0;Женский;9;516;128298.74;1;Нет;Покинул банк
15624633;45.0;Мужской;9;702;74989.58;1;Есть;Остается клиентом
15655574;40.0;Женский;8;698;150777.1;1;Есть;Остается клиентом
15738181;31.0;Мужской;6;850;67996.23;2;Нет;Покинул банк
15576723;37.0;Женский;7;740;0.0;2;Есть;Остается клиентом
15680346;40.0;Мужской;8;683;0.0;1;Есть;Остается клиентом
15573798;36.0;Женский;6;448;83947.12;2;Есть;Остается клиентом
15711618;39.0;Женский;1;704;124640.51;1;Есть;Покинул банк
15802758;23.0;Женский;4;594;104753.84;2;Есть;Покинул банк
15659651;31.0;Женский;7;531;117052.82;1;Есть;Покинул банк
15732202;34.0;Мужской;1;615;83503.11;2;Есть;Покинул банк
15633378;49.0;Женский;9;692;0.0;2;Есть;Остается клиентом
15632280;53.0;Женский;9;544;0.0;1;Есть;Покинул банк
15753831;32.0;Мужской;7;642;100433.8;1;Есть;Остается клиентом
15696588;36.0;Женский;3;679;0.0;2;Есть;Остается клиентом
15745533;63.0;Женский;1;799;110314.21;2;Есть;Покинул банк
15660505;46.0;Мужской;2;735;106344.95;1;Есть;Покинул банк
15669782;39.0;Мужской;9;820;111336.89;1;Есть;Покинул банк
15695339;53.0;Мужской;0;517;109172.88;1;Есть;Покинул банк
15633064;36.0;Женский;4;438;0.0;2;Есть;Остается клиентом
15814465;24.0;Мужской;1;612;182705.05;1;Есть;Остается клиентом
15573456;46.0;Мужской;9;648;127209.0;2;Есть;Покинул банк
15585985;48.0;Мужской;5;746;165282.42;1;Есть;Покинул банк
15605916;50.0;Женский;3;659;0.0;1;Есть;Покинул банк
15809736;46.0;Мужской;2;664;0.0;1;Есть;Покинул банк
15764033;43.0;Женский;1;693;121927.92;1;Есть;Покинул банк
15736271;29.0;Женский;9;498;0.0;1;Есть;Остается клиентом
15597949;47.0;Женский;5;768;104552.61;1;Есть;Покинул банк
15806256;48.0;Мужской;2;540;109349.29;1;Есть;Покинул банк
15567506;40.0;Женский;6;738;114940.67;2;Есть;Покинул банк
15681671;28.0;Мужской;2;850;101100.22;2;Есть;Остается клиентом
15617482;52.0;Женский;1;489;131441.51;1;Есть;Покинул банк
15669656;32.0;Мужской;6;632;111589.33;1;Есть;Остается клиентом
15766017;58.0;Мужской;3;615;72309.3;1;Есть;Покинул банк
15773890;22.0;Мужской;5;733;0.0;2;Есть;Остается клиентом
15789313;44.0;Женский;4;595;96553.52;2;Есть;Покинул банк
15730044;42.0;Женский;6;809;64497.94;3;Нет;Покинул банк
15794360;70.0;Женский;5;592;71816.74;2;Есть;Покинул банк
15632882;37.0;Мужской;1;684;126817.13;2;Есть;Покинул банк
15599272;36.0;Женский;1;795;151844.64;1;Есть;Остается клиентом
15606177;39.0;Мужской;2;672;0.0;2;Есть;Остается клиентом
15621064;23.0;Мужской;5;701;186101.18;2;Есть;Остается клиентом
15639004;72.0;Мужской;2;668;0.0;2;Есть;Остается клиентом
15701164;34.0;Женский;4;506;90307.62;1;Есть;Остается клиентом
15643392;31.0;Мужской;4;742;105239.1;1;Есть;Остается клиентом
15732266;53.0;Мужской;5;553;127997.83;1;Есть;Покинул банк
15672027;33.0;Женский;10;717;102185.42;2;Есть;Остается клиентом
15722473;41.0;Мужской;3;713;0.0;2;Есть;Остается клиентом
15720713;29.0;Женский;10;850;0.0;2;Есть;Остается клиентом
15756975;35.0;Женский;3;777;0.0;2;Есть;Остается клиентом
15694272;30.0;Мужской;1;673;64097.75;1;Есть;Остается клиентом
15576644;29.0;Женский;4;687;78939.15;1;Есть;Покинул банк
15618562;40.0;Женский;0;618;140306.38;1;Есть;Покинул банк
15771270;27.0;Женский;8;635;127471.56;1;Есть;Покинул банк
15740264;38.0;Мужской;9;640;0.0;2;Есть;Остается клиентом
15727299;62.0;Мужской;1;445;64119.38;1;Есть;Покинул банк
15640442;31.0;Мужской;4;717;129722.57;1;Нет;Остается клиентом
15709368;43.0;Женский;6;614;0.0;2;Есть;Остается клиентом
15717560;50.0;Мужской;0;580;125647.36;1;Есть;Покинул банк
15627298;37.0;Мужской;7;589;85146.48;2;Есть;Покинул банк
15721935;25.0;Мужской;7;521;0.0;2;Есть;Остается клиентом
15592300;35.0;Мужской;10;543;59408.63;1;Есть;Остается клиентом
15617476;30.0;Женский;5;546;0.0;2;Нет;Остается клиентом
15673984;35.0;Женский;8;536;0.0;1;Есть;Покинул банк
15705860;40.0;Мужской;3;631;107949.45;1;Есть;Покинул банк
15720110;32.0;Мужской;2;795;117265.21;1;Есть;Остается клиентом
15778694;26.0;Женский;1;638;105249.76;2;Есть;Остается клиентом
15775803;41.0;Мужской;1;841;0.0;2;Нет;Остается клиентом
15785358;46.0;Мужской;8;586;106968.96;1;Есть;Покинул банк
15775294;31.0;Женский;2;692;0.0;2;Есть;Покинул банк
15588859;44.0;Женский;0;496;179356.28;2;Есть;Покинул банк
15724076;57.0;Женский;5;815;0.0;3;Нет;Покинул банк
15712536;36.0;Женский;3;625;0.0;2;Есть;Покинул банк
15749482;30.0;Мужской;4;772;78653.05;1;Есть;Остается клиентом
15643158;40.0;Женский;9;598;0.0;1;Есть;Покинул банк
15777639;23.0;Женский;10;595;101126.66;2;Нет;Остается клиентом
15733966;55.0;Женский;4;496;125292.53;1;Есть;Покинул банк
15773283;65.0;Мужской;6;641;38340.02;1;Есть;Покинул банк
15699467;41.0;Женский;0;631;0.0;1;Нет;Остается клиентом
15706005;46.0;Мужской;2;674;174701.05;1;Есть;Покинул банк
15686999;40.0;Женский;8;556;0.0;2;Есть;Остается клиентом
15709941;46.0;Мужской;8;753;0.0;3;Есть;Покинул банк
15747927;26.0;Мужской;4;758;155739.76;1;Есть;Остается клиентом
15588614;57.0;Мужской;7;753;0.0;1;Есть;Покинул банк
15744582;24.0;Женский;10;680;0.0;3;Есть;Покинул банк
15665783;49.0;Мужской;7;565;0.0;2;Есть;Остается клиентом
15670646;42.0;Женский;0;499;147187.84;1;Есть;Покинул банк
15605264;47.0;Мужской;0;669;63723.78;2;Есть;Остается клиентом
15763171;25.0;Женский;2;650;114330.95;1;Есть;Остается клиентом
15583371;37.0;Мужской;1;632;138207.08;1;Есть;Покинул банк
15793424;28.0;Женский;8;663;61274.7;2;Есть;Остается клиентом
15585249;42.0;Мужской;6;741;106036.52;1;Есть;Покинул банк
15589949;34.0;Мужской;9;433;152806.74;1;Есть;Остается клиентом
15746451;41.0;Мужской;7;686;102749.72;1;Нет;Остается клиентом
15575955;24.0;Женский;0;764;0.0;2;Есть;Остается клиентом
15714391;35.0;Женский;2;563;183572.84;1;Есть;Покинул банк
15693468;39.0;Женский;9;488;140553.46;1;Нет;Остается клиентом
15603582;34.0;Женский;3;569;0.0;1;Есть;Остается клиентом
15569878;37.0;Мужской;3;592;96651.03;1;Есть;Остается клиентом
15607786;26.0;Мужской;6;709;156551.63;1;Нет;Остается клиентом
15693205;41.0;Женский;8;691;109153.96;3;Есть;Покинул банк
15771409;58.0;Мужской;7;586;151933.63;1;Есть;Покинул банк
