Возраст,Пол,Квалификация,Стаж,Семейное положение,Иждивенцы,Срок проживания,Иностранное гражданство,Телефон,Банковский счет,Сберегательный счет,Собственность,Плата за жилье,Кредитный рейтинг,Число кредитов,Другие кредиты,Сумма,Срок,Процентная ставка платежа,Поручители,Цель,Класс
13,60.0,1,1,4.0,никогда не состоял(а),1,4,1,0,-1,1,автомобиль,собственность,0,2,нет,1199,24,4,нет,автомобиль (новый),0
14,,0,2,2.0,замужем/живет раздельно/разведена,1,4,1,0,-1,1,автомобиль,аренда,2,1,нет,1403,15,2,нет,автомобиль (новый),1
15,32.0,0,1,2.0,замужем/живет раздельно/разведена,1,2,1,0,-1,2,автомобиль,собственность,2,1,нет,1282,24,4,нет,,0
16,53.0,1,2,4.0,никогда не состоял(а),1,4,1,0,0,0,страхование жизни/сберегательный договор,собственность,0,2,нет,2424,24,4,нет,радио/телевидение,1
17,25.0,1,2,1.0,никогда не состоял(а),1,3,1,0,-1,0,автомобиль,собственность,4,3,банк,8072,30,2,нет,бизнес,1
18,44.0,0,3,4.0,замужем/живет раздельно/разведена,1,2,1,1,1,1,неизвестно/нет собственности,бесплатно,2,1,нет,12579,24,4,нет,автомобиль (б/у),0
19,31.0,1,2,4.0,никогда не состоял(а),2,2,1,1,0,3,автомобиль,собственность,2,1,нет,3430,24,3,нет,радио/телевидение,1
20,48.0,1,2,2.0,никогда не состоял(а),1,4,1,1,0,1,автомобиль,собственность,0,3,нет,2134,9,4,нет,,1
21,44.0,1,2,2.0,никогда не состоял(а),2,3,1,0,-1,3,недвижимость,аренда,2,1,нет,2647,6,2,нет,радио/телевидение,1
22,48.0,1,1,1.0,никогда не состоял(а),2,3,0,0,-1,1,недвижимость,аренда,0,2,нет,2241,10,1,нет,автомобиль (новый),1
23,,1,2,1.0,никогда не состоял(а),1,4,1,0,1,2,страхование жизни/сберегательный договор,собственность,0,1,нет,1804,12,3,нет,автомобиль (б/у),1
24,26.0,1,2,2.0,женат/овдовел,1,1,0,0,0,0,автомобиль,собственность,0,2,нет,2069,10,2,нет,мебель/оборудование,1
25,36.0,1,1,2.0,никогда не состоял(а),1,2,1,1,-1,1,недвижимость,собственность,2,1,банк,1374,6,1,нет,мебель/оборудование,1
26,39.0,1,1,4.0,женат/овдовел,1,4,1,0,0,1,автомобиль,собственность,4,1,нет,426,6,4,нет,радио/телевидение,1
27,42.0,0,2,2.0,замужем/живет раздельно/разведена,1,3,1,0,2,4,недвижимость,аренда,3,2,нет,409,12,3,нет,радио/телевидение,1
28,34.0,1,2,2.0,никогда не состоял(а),1,2,1,0,1,1,недвижимость,собственность,2,1,нет,2415,7,3,поручитель,радио/телевидение,1
29,63.0,1,2,4.0,никогда не состоял(а),1,4,1,1,-1,1,неизвестно/нет собственности,собственность,1,2,нет,6836,60,3,нет,бизнес,0
30,36.0,1,2,1.0,женат/овдовел,1,3,1,1,1,4,недвижимость,собственность,2,1,банк,1913,18,3,нет,бизнес,1
31,27.0,1,2,2.0,никогда не состоял(а),1,2,1,0,-1,1,автомобиль,собственность,2,1,магазин,4020,24,2,нет,мебель/оборудование,1
32,30.0,1,2,2.0,никогда не состоял(а),1,2,1,1,1,2,автомобиль,собственность,2,2,нет,5866,18,2,нет,автомобиль (новый),1
33,57.0,1,1,4.0,никогда не состоял(а),1,4,1,0,0,0,неизвестно/нет собственности,аренда,0,1,нет,1264,12,4,нет,бизнес,1
34,33.0,0,3,1.0,замужем/живет раздельно/разведена,1,1,1,1,2,1,страхование жизни/сберегательный договор,собственность,2,1,банк,1474,12,4,нет,мебель/оборудование,1
35,,1,1,1.0,никогда не состоял(а),1,2,1,0,1,1,страхование жизни/сберегательный договор,собственность,0,2,нет,4746,45,4,нет,радио/телевидение,0
36,31.0,1,2,2.0,никогда не состоял(а),1,3,1,1,0,1,неизвестно/нет собственности,бесплатно,0,1,банк,6110,48,1,нет,образование,1
37,37.0,1,2,,никогда не состоял(а),1,2,1,0,2,1,недвижимость,собственность,2,1,магазин,2100,18,4,созаемщик,радио/телевидение,0
38,37.0,1,2,,никогда не состоял(а),1,2,1,1,2,1,автомобиль,собственность,2,1,нет,1225,10,2,нет,бытовая техника,1
39,24.0,1,2,,никогда не состоял(а),1,3,1,0,1,1,недвижимость,собственность,2,1,нет,458,9,4,нет,радио/телевидение,1
40,30.0,1,3,4.0,никогда не состоял(а),1,2,1,0,0,3,автомобиль,собственность,2,1,банк,2333,30,4,нет,радио/телевидение,1
41,26.0,1,2,,живет раздельно/разведен,1,1,1,1,1,3,автомобиль,собственность,2,1,нет,1158,12,3,нет,радио/телевидение,1
42,,1,1,2.0,никогда не состоял(а),2,4,1,1,1,1,недвижимость,собственность,1,1,нет,6204,18,2,нет,ремонт,1
43,24.0,1,2,3.0,женат/овдовел,1,4,1,0,-1,2,автомобиль,аренда,0,2,нет,6187,30,1,нет,автомобиль (б/у),1
44,58.0,0,1,4.0,замужем/живет раздельно/разведена,1,4,1,0,-1,1,неизвестно/нет собственности,бесплатно,0,2,магазин,6143,48,4,,автомобиль (б/у),0
45,35.0,0,3,1.0,замужем/живет раздельно/разведена,1,4,1,0,0,1,автомобиль,собственность,0,2,нет,1393,11,4,нет,автомобиль (новый),1
46,39.0,1,2,4.0,никогда не состоял(а),1,4,1,0,0,3,автомобиль,собственность,2,1,нет,2299,36,4,нет,радио/телевидение,1
47,23.0,0,0,0.0,замужем/живет раздельно/разведена,1,2,1,1,-1,3,страхование жизни/сберегательный договор,аренда,2,1,нет,1352,6,1,нет,автомобиль (б/у),1
48,39.0,1,1,2.0,никогда не состоял(а),1,4,1,0,0,1,страхование жизни/сберегательный договор,собственность,0,2,нет,7228,11,1,нет,автомобиль (новый),1
49,,0,2,2.0,замужем/живет раздельно/разведена,1,2,1,0,0,2,недвижимость,собственность,2,1,нет,2073,12,4,созаемщик,радио/телевидение,1
50,29.0,1,1,1.0,никогда не состоял(а),1,2,1,0,1,0,страхование жизни/сберегательный договор,собственность,1,1,банк,2333,24,4,нет,мебель/оборудование,1
51,30.0,1,3,4.0,никогда не состоял(а),1,2,1,1,1,1,автомобиль,собственность,1,2,нет,5965,27,1,нет,автомобиль (б/у),1
52,25.0,1,2,,никогда не состоял(а),1,2,1,0,0,1,автомобиль,собственность,2,1,нет,1262,12,3,нет,радио/телевидение,1
53,31.0,1,2,2.0,никогда не состоял(а),1,1,1,1,0,0,страхование жизни/сберегательный договор,собственность,2,1,нет,3378,18,2,нет,автомобиль (б/у),1
54,57.0,1,2,4.0,никогда не состоял(а),1,4,1,1,1,1,неизвестно/нет собственности,бесплатно,1,2,банк,2225,36,4,нет,автомобиль (новый),0
55,26.0,1,1,2.0,никогда не состоял(а),2,2,1,0,0,0,недвижимость,собственность,3,1,магазин,783,6,1,поручитель,автомобиль (новый),1
56,52.0,1,3,0.0,никогда не состоял(а),1,1,1,1,1,0,неизвестно/нет собственности,собственность,2,1,нет,6468,12,2,нет,радио/телевидение,0
57,31.0,0,2,2.0,замужем/живет раздельно/разведена,1,2,1,0,0,1,автомобиль,собственность,0,2,магазин,9566,36,2,нет,радио/телевидение,1
58,23.0,0,3,4.0,замужем/живет раздельно/разведена,1,2,1,0,2,1,автомобиль,собственность,2,1,нет,1961,18,3,нет,автомобиль (новый),1
59,23.0,0,1,1.0,замужем/живет раздельно/разведена,1,4,1,1,-1,1,неизвестно/нет собственности,аренда,0,2,нет,6229,36,4,созаемщик,мебель/оборудование,0
60,27.0,1,2,2.0,женат/овдовел,1,1,1,1,1,1,недвижимость,собственность,2,1,банк,1391,9,2,нет,,1
61,50.0,1,2,4.0,никогда не состоял(а),1,4,1,1,1,0,недвижимость,собственность,0,2,нет,1537,15,4,поручитель,радио/телевидение,1
62,61.0,1,3,4.0,никогда не состоял(а),1,4,1,1,1,1,неизвестно/нет собственности,бесплатно,4,1,нет,1953,36,4,нет,,0
63,25.0,1,2,2.0,никогда не состоял(а),1,2,1,1,1,1,автомобиль,собственность,4,1,нет,14421,48,2,нет,бизнес,0
64,26.0,0,2,1.0,замужем/живет раздельно/разведена,1,4,1,1,0,1,страхование жизни/сберегательный договор,собственность,2,1,нет,3181,24,4,нет,радио/телевидение,1
65,48.0,1,2,4.0,никогда не состоял(а),2,4,1,1,0,0,страхование жизни/сберегательный договор,собственность,2,4,нет,5190,27,4,нет,ремонт,1
66,29.0,0,2,1.0,замужем/живет раздельно/разведена,1,2,1,0,0,1,автомобиль,собственность,2,1,банк,2171,12,2,,радио/телевидение,1
67,,1,2,2.0,женат/овдовел,1,1,1,0,1,4,недвижимость,собственность,2,1,нет,1007,12,4,,автомобиль (новый),1
68,37.0,1,2,2.0,никогда не состоял(а),1,4,1,1,0,1,неизвестно/нет собственности,бесплатно,2,1,магазин,1819,36,4,нет,образование,0
69,25.0,0,2,2.0,замужем/живет раздельно/разведена,1,4,1,0,0,0,автомобиль,собственность,2,1,нет,2394,36,4,нет,радио/телевидение,1
70,30.0,0,2,2.0,замужем/живет раздельно/разведена,1,2,1,0,0,1,страхование жизни/сберегательный договор,собственность,2,1,банк,8133,36,1,нет,автомобиль (б/у),1
71,46.0,1,1,4.0,никогда не состоял(а),1,2,1,1,0,0,страхование жизни/сберегательный договор,аренда,0,2,нет,730,7,4,нет,радио/телевидение,1
72,51.0,1,3,4.0,никогда не состоял(а),2,4,1,1,-1,1,неизвестно/нет собственности,бесплатно,0,2,банк,1164,8,3,нет,другое,1
73,41.0,0,1,3.0,замужем/живет раздельно/разведена,1,1,1,0,1,1,недвижимость,собственность,0,2,банк,5954,42,2,нет,бизнес,1
74,40.0,1,3,4.0,никогда не состоял(а),1,4,1,1,-1,0,неизвестно/нет собственности,собственность,2,1,нет,1977,36,4,нет,образование,0
75,66.0,1,3,4.0,никогда не состоял(а),1,4,1,0,-1,1,неизвестно/нет собственности,бесплатно,0,2,нет,1526,12,4,нет,,1
76,34.0,1,2,1.0,никогда не состоял(а),1,3,1,0,-1,1,автомобиль,собственность,2,1,нет,3965,42,4,нет,радио/телевидение,0
77,51.0,1,2,3.0,никогда не состоял(а),1,4,1,0,1,1,страхование жизни/сберегательный договор,собственность,1,1,нет,4771,11,2,нет,радио/телевидение,1
78,39.0,1,1,2.0,никогда не состоял(а),2,2,1,0,0,0,страхование жизни/сберегательный договор,собственность,4,1,нет,9436,54,2,нет,автомобиль (б/у),1
79,22.0,1,2,1.0,женат/овдовел,1,1,1,0,1,1,страхование жизни/сберегательный договор,собственность,2,1,нет,3832,30,2,нет,мебель/оборудование,1
80,44.0,0,2,1.0,замужем/живет раздельно/разведена,1,1,1,1,0,0,автомобиль,собственность,2,2,нет,5943,24,1,нет,радио/телевидение,0
81,47.0,1,2,4.0,никогда не состоял(а),1,3,1,1,0,3,страхование жизни/сберегательный договор,собственность,2,1,магазин,1213,15,4,нет,радио/телевидение,1
82,24.0,0,1,2.0,замужем/живет раздельно/разведена,1,4,1,0,0,2,страхование жизни/сберегательный договор,аренда,2,1,нет,1568,18,3,нет,бизнес,1
83,58.0,0,1,,замужем/живет раздельно/разведена,1,4,1,1,-1,1,недвижимость,собственность,2,1,нет,1755,24,4,поручитель,другое,1
84,52.0,1,1,4.0,никогда не состоял(а),1,4,1,0,-1,1,недвижимость,собственность,2,1,нет,2315,10,3,нет,радио/телевидение,1
85,29.0,0,3,2.0,замужем/живет раздельно/разведена,1,2,1,1,0,1,недвижимость,собственность,0,2,нет,1412,12,4,поручитель,бизнес,1
86,27.0,0,2,1.0,замужем/живет раздельно/разведена,1,1,1,0,1,1,страхование жизни/сберегательный договор,собственность,0,2,нет,1295,18,4,нет,мебель/оборудование,1
87,47.0,1,2,2.0,никогда не состоял(а),2,4,1,1,1,2,неизвестно/нет собственности,бесплатно,2,1,нет,12612,36,1,нет,образование,0
88,30.0,1,3,3.0,никогда не состоял(а),2,3,1,1,-1,2,автомобиль,собственность,2,1,нет,2249,18,4,нет,автомобиль (новый),1
89,28.0,1,2,3.0,никогда не состоял(а),1,3,1,0,-1,1,недвижимость,собственность,4,2,нет,1108,12,4,нет,ремонт,0
90,56.0,1,2,4.0,никогда не состоял(а),1,4,1,0,0,1,недвижимость,собственность,0,1,нет,618,12,4,нет,радио/телевидение,1
91,54.0,1,2,4.0,никогда не состоял(а),1,3,1,0,-1,1,недвижимость,собственность,0,1,нет,1409,12,4,нет,автомобиль (б/у),1
92,33.0,0,1,4.0,замужем/живет раздельно/разведена,2,3,1,0,0,0,страхование жизни/сберегательный договор,собственность,0,1,банк,797,12,4,нет,радио/телевидение,0
93,20.0,1,2,4.0,никогда не состоял(а),1,4,1,0,2,0,неизвестно/нет собственности,аренда,0,2,нет,3617,24,4,созаемщик,мебель/оборудование,1
94,54.0,1,2,4.0,никогда не состоял(а),1,4,1,1,1,4,недвижимость,собственность,2,1,нет,1318,12,4,нет,автомобиль (новый),1
95,58.0,1,2,1.0,никогда не состоял(а),1,4,1,1,1,1,неизвестно/нет собственности,аренда,4,1,нет,15945,54,3,нет,бизнес,0
96,61.0,0,2,3.0,замужем/живет раздельно/разведена,1,2,1,0,0,0,автомобиль,собственность,0,1,нет,2012,12,4,нет,образование,1
97,34.0,1,2,2.0,никогда не состоял(а),1,4,1,0,1,2,автомобиль,собственность,2,1,нет,2622,18,4,нет,бизнес,1
98,36.0,1,2,4.0,никогда не состоял(а),1,4,1,0,1,1,недвижимость,собственность,0,1,нет,2337,36,4,нет,радио/телевидение,1
99,36.0,1,3,3.0,никогда не состоял(а),2,4,1,1,1,0,страхование жизни/сберегательный договор,аренда,1,2,банк,7057,20,3,,автомобиль (б/у),1
100,41.0,1,1,4.0,женат/овдовел,1,4,1,0,0,2,недвижимость,аренда,2,1,нет,1469,24,4,нет,автомобиль (новый),1
101,24.0,1,2,3.0,никогда не состоял(а),1,4,1,0,1,1,автомобиль,аренда,2,1,нет,2323,36,4,нет,радио/телевидение,1
102,24.0,0,2,2.0,замужем/живет раздельно/разведена,1,2,1,0,0,1,недвижимость,собственность,1,1,нет,932,6,3,нет,радио/телевидение,1
103,35.0,1,2,3.0,никогда не состоял(а),1,3,1,1,1,1,автомобиль,аренда,0,1,нет,1919,9,4,нет,мебель/оборудование,1
104,26.0,1,2,1.0,женат/овдовел,1,4,1,1,0,0,автомобиль,аренда,2,1,нет,2445,12,2,нет,автомобиль (б/у),1
105,39.0,1,3,2.0,никогда не состоял(а),2,3,1,1,1,1,автомобиль,собственность,0,2,нет,11938,24,2,созаемщик,другое,0
106,39.0,1,3,4.0,никогда не состоял(а),2,4,1,1,0,1,неизвестно/нет собственности,собственность,3,2,банк,6458,18,2,нет,автомобиль (новый),0
107,32.0,1,2,3.0,никогда не состоял(а),1,2,1,0,1,1,автомобиль,собственность,2,1,нет,6078,12,2,нет,автомобиль (новый),1
108,30.0,0,2,,замужем/живет раздельно/разведена,1,2,0,1,-1,0,страхование жизни/сберегательный договор,собственность,2,1,нет,7721,24,1,нет,мебель/оборудование,1
109,35.0,1,2,4.0,женат/овдовел,1,2,1,1,1,3,недвижимость,собственность,2,1,нет,1410,14,1,нет,бизнес,1
110,31.0,1,2,4.0,живет раздельно/разведен,2,2,1,0,1,2,автомобиль,собственность,1,2,банк,1449,6,1,нет,бизнес,1
111,23.0,0,2,1.0,замужем/живет раздельно/разведена,1,4,1,1,2,1,страхование жизни/сберегательный договор,аренда,2,1,нет,392,15,4,нет,,1
112,28.0,1,1,3.0,никогда не состоял(а),1,3,1,0,1,1,недвижимость,аренда,2,1,нет,6260,18,3,,автомобиль (новый),1
113,25.0,0,2,2.0,замужем/живет раздельно/разведена,1,2,1,1,0,1,недвижимость,собственность,0,2,магазин,7855,36,4,нет,автомобиль (новый),0
114,35.0,1,2,4.0,женат/овдовел,1,1,1,0,-1,3,недвижимость,собственность,2,1,нет,1680,12,3,нет,радио/телевидение,1
115,47.0,1,2,4.0,никогда не состоял(а),1,1,1,1,0,0,недвижимость,собственность,0,1,нет,3578,48,4,нет,радио/телевидение,1
116,30.0,0,3,3.0,замужем/живет раздельно/разведена,1,3,1,1,-1,0,автомобиль,собственность,2,1,нет,7174,42,4,,радио/телевидение,0
117,27.0,0,2,1.0,замужем/живет раздельно/разведена,1,3,0,0,-1,0,недвижимость,аренда,0,2,нет,2132,10,2,созаемщик,мебель/оборудование,1
118,23.0,0,2,2.0,замужем/живет раздельно/разведена,1,4,1,0,-1,3,автомобиль,собственность,0,2,нет,4281,33,1,нет,мебель/оборудование,0
119,36.0,1,3,3.0,живет раздельно/разведен,1,3,1,1,1,3,автомобиль,собственность,0,1,нет,2366,12,3,нет,автомобиль (новый),1
120,25.0,0,2,2.0,замужем/живет раздельно/разведена,1,2,1,1,-1,1,недвижимость,собственность,2,2,нет,1835,21,3,нет,радио/телевидение,0
121,,0,3,4.0,замужем/живет раздельно/разведена,1,2,1,1,0,1,автомобиль,аренда,0,2,нет,3868,24,4,нет,автомобиль (б/у),1
122,,1,1,2.0,никогда не состоял(а),1,2,1,0,0,1,недвижимость,аренда,2,1,нет,1768,12,3,нет,мебель/оборудование,1
123,63.0,1,2,4.0,никогда не состоял(а),1,4,1,1,2,1,неизвестно/нет собственности,бесплатно,0,2,нет,781,10,4,нет,автомобиль (новый),1
124,27.0,0,2,1.0,замужем/живет раздельно/разведена,1,3,1,0,1,0,недвижимость,аренда,2,1,нет,1924,18,4,нет,мебель/оборудование,0
125,30.0,1,2,2.0,никогда не состоял(а),1,2,1,0,-1,1,страхование жизни/сберегательный договор,собственность,0,2,нет,2121,12,4,,автомобиль (новый),1
126,40.0,1,1,2.0,женат/овдовел,1,2,1,0,-1,1,недвижимость,собственность,2,1,нет,701,12,4,нет,радио/телевидение,1
127,30.0,1,2,2.0,никогда не состоял(а),1,2,1,0,1,1,автомобиль,собственность,2,1,нет,639,12,4,,ремонт,0
128,34.0,1,3,0.0,никогда не состоял(а),1,2,1,1,1,1,автомобиль,собственность,0,2,нет,1860,12,4,нет,автомобиль (б/у),1
129,,0,2,2.0,замужем/живет раздельно/разведена,1,2,1,0,-1,1,недвижимость,собственность,0,2,нет,3499,12,3,созаемщик,автомобиль (новый),0
130,24.0,0,2,3.0,замужем/живет раздельно/разведена,1,2,1,0,1,0,автомобиль,собственность,2,1,нет,8487,48,1,нет,автомобиль (новый),1
131,29.0,1,2,2.0,никогда не состоял(а),1,3,1,1,-1,1,страхование жизни/сберегательный договор,собственность,1,1,магазин,6887,36,4,нет,образование,0
132,27.0,1,1,1.0,никогда не состоял(а),1,3,1,0,0,1,страхование жизни/сберегательный договор,собственность,2,2,банк,2708,15,2,нет,мебель/оборудование,1
133,47.0,1,2,,никогда не состоял(а),1,4,1,0,0,1,неизвестно/нет собственности,бесплатно,2,2,банк,1984,18,4,нет,мебель/оборудование,1
134,21.0,0,2,3.0,замужем/живет раздельно/разведена,1,4,1,1,0,2,недвижимость,собственность,2,1,нет,10144,60,2,нет,радио/телевидение,1
135,38.0,0,2,4.0,замужем/живет раздельно/разведена,1,2,1,1,0,0,недвижимость,собственность,0,2,нет,1240,12,4,нет,радио/телевидение,1
136,27.0,1,2,2.0,никогда не состоял(а),1,2,1,0,0,4,автомобиль,собственность,1,2,нет,8613,27,2,нет,автомобиль (б/у),1
137,66.0,1,1,2.0,никогда не состоял(а),1,3,1,0,1,3,недвижимость,собственность,2,1,нет,766,12,4,нет,радио/телевидение,0
138,35.0,1,2,3.0,никогда не состоял(а),1,2,1,1,1,0,недвижимость,собственность,0,3,банк,2728,15,4,поручитель,,1
139,44.0,0,1,2.0,замужем/живет раздельно/разведена,1,2,1,1,2,1,автомобиль,аренда,2,1,нет,1881,12,2,нет,радио/телевидение,1
140,27.0,1,0,1.0,женат/овдовел,1,2,0,0,2,4,недвижимость,собственность,2,1,нет,709,6,2,нет,автомобиль (новый),1
141,30.0,0,3,1.0,замужем/живет раздельно/разведена,1,1,1,1,1,1,неизвестно/нет собственности,собственность,2,1,нет,4795,36,4,,радио/телевидение,1
142,27.0,1,3,2.0,никогда не состоял(а),1,2,1,0,-1,1,автомобиль,собственность,2,1,нет,3416,27,3,нет,радио/телевидение,1
143,22.0,1,2,,никогда не состоял(а),1,2,1,0,-1,1,автомобиль,собственность,2,1,нет,2462,18,2,нет,мебель/оборудование,0
144,23.0,0,2,1.0,замужем/живет раздельно/разведена,1,4,1,1,0,1,страхование жизни/сберегательный договор,собственность,0,1,нет,2288,21,4,нет,мебель/оборудование,1
145,30.0,1,2,3.0,никогда не состоял(а),1,2,1,0,1,2,автомобиль,собственность,3,1,нет,3566,48,4,нет,,1
146,39.0,0,2,4.0,замужем/живет раздельно/разведена,1,4,1,1,-1,1,неизвестно/нет собственности,собственность,0,2,нет,860,6,1,нет,автомобиль (новый),1
147,,0,2,3.0,замужем/живет раздельно/разведена,1,3,1,1,0,2,автомобиль,собственность,0,2,нет,682,12,4,нет,автомобиль (новый),1
148,28.0,1,2,2.0,никогда не состоял(а),1,2,1,0,-1,1,страхование жизни/сберегательный договор,собственность,0,2,нет,5371,36,3,поручитель,мебель/оборудование,1
149,46.0,1,2,4.0,никогда не состоял(а),1,4,1,0,0,4,автомобиль,собственность,0,2,нет,1582,18,4,нет,радио/телевидение,1
150,42.0,1,2,4.0,никогда не состоял(а),2,4,1,1,0,2,неизвестно/нет собственности,бесплатно,2,1,банк,1346,6,2,нет,радио/телевидение,1
151,38.0,1,2,2.0,никогда не состоял(а),1,4,0,1,0,1,страхование жизни/сберегательный договор,собственность,2,1,нет,1924,10,1,нет,радио/телевидение,1
152,24.0,1,2,2.0,никогда не состоял(а),1,1,1,0,2,1,автомобиль,собственность,2,1,нет,5848,36,4,нет,радио/телевидение,1
153,,0,2,4.0,замужем/живет раздельно/разведена,1,4,1,0,1,4,неизвестно/нет собственности,аренда,0,1,нет,7758,24,2,нет,автомобиль (б/у),1
154,36.0,1,3,3.0,никогда не состоял(а),1,4,1,1,1,2,автомобиль,аренда,1,1,нет,6967,24,4,нет,бизнес,1
155,20.0,0,2,2.0,замужем/живет раздельно/разведена,1,4,1,0,-1,1,автомобиль,аренда,2,1,нет,1282,12,2,нет,мебель/оборудование,0
156,48.0,1,2,4.0,никогда не состоял(а),2,4,0,0,-1,2,недвижимость,собственность,0,2,нет,1288,9,3,поручитель,ремонт,1
157,45.0,1,1,,женат/овдовел,1,1,1,0,-1,1,автомобиль,собственность,3,1,банк,339,12,4,нет,переподготовка,1
158,38.0,1,2,3.0,никогда не состоял(а),1,3,1,1,1,2,автомобиль,собственность,2,2,банк,3512,24,2,нет,автомобиль (новый),1
159,34.0,1,1,2.0,никогда не состоял(а),2,2,1,0,0,0,недвижимость,собственность,0,2,нет,1898,6,1,нет,радио/телевидение,1
160,36.0,1,2,4.0,никогда не состоял(а),2,4,1,1,0,2,недвижимость,собственность,0,1,нет,2872,24,3,нет,радио/телевидение,1
161,30.0,0,2,1.0,замужем/живет раздельно/разведена,1,1,1,0,0,1,страхование жизни/сберегательный договор,собственность,0,2,нет,1055,18,4,нет,автомобиль (новый),1
162,36.0,1,2,3.0,никогда не состоял(а),1,3,1,1,0,3,страхование жизни/сберегательный договор,собственность,2,2,нет,1262,15,4,нет,бытовая техника,1
163,70.0,1,3,0.0,никогда не состоял(а),1,4,1,1,1,1,неизвестно/нет собственности,бесплатно,2,1,банк,7308,10,2,нет,автомобиль (новый),1
164,36.0,1,2,4.0,никогда не состоял(а),1,4,1,0,0,3,страхование жизни/сберегательный договор,собственность,2,1,нет,909,36,4,нет,автомобиль (новый),1
165,32.0,1,2,2.0,никогда не состоял(а),1,2,1,1,0,3,автомобиль,собственность,2,1,нет,2978,6,1,нет,мебель/оборудование,1
166,33.0,0,2,0.0,замужем/живет раздельно/разведена,1,2,1,0,-1,1,автомобиль,собственность,2,1,нет,1131,18,4,нет,мебель/оборудование,0
167,20.0,0,2,1.0,замужем/живет раздельно/разведена,1,1,1,0,1,4,недвижимость,собственность,2,1,нет,1577,11,4,нет,мебель/оборудование,1
168,25.0,0,2,3.0,замужем/живет раздельно/разведена,1,4,1,1,0,1,страхование жизни/сберегательный договор,аренда,2,1,нет,3972,24,2,нет,мебель/оборудование,1
169,31.0,1,2,4.0,живет раздельно/разведен,1,4,1,1,1,1,недвижимость,собственность,0,2,нет,1935,24,4,нет,бизнес,0
170,33.0,1,2,4.0,никогда не состоял(а),2,3,1,0,-1,1,автомобиль,аренда,4,2,нет,950,15,4,нет,,0
171,26.0,0,2,2.0,замужем/живет раздельно/разведена,1,1,1,1,0,1,недвижимость,собственность,2,1,нет,763,12,4,нет,мебель/оборудование,1
172,34.0,0,3,0.0,замужем/живет раздельно/разведена,1,2,1,1,1,1,страхование жизни/сберегательный договор,собственность,1,1,нет,2064,24,3,нет,мебель/оборудование,0
173,33.0,1,2,2.0,никогда не состоял(а),1,2,0,0,1,1,недвижимость,собственность,2,1,нет,1414,8,4,поручитель,радио/телевидение,1
174,,1,2,1.0,никогда не состоял(а),1,1,1,0,-1,1,страхование жизни/сберегательный договор,собственность,1,2,нет,3414,21,2,нет,образование,0
175,53.0,0,3,,замужем/живет раздельно/разведена,1,1,1,1,0,0,недвижимость,собственность,3,1,банк,7485,30,4,нет,автомобиль (б/у),0
176,42.0,1,2,2.0,живет раздельно/разведен,1,1,1,0,-1,1,автомобиль,собственность,2,1,нет,2577,12,2,нет,мебель/оборудование,1
177,52.0,1,2,4.0,никогда не состоял(а),1,4,1,0,-1,3,автомобиль,собственность,0,2,нет,338,6,4,нет,,1
